submission_id,household_id,enum_name,start_time,end_time,submission_date,district,subcounty,gps_lat,gps_lon,hh_size,gender_hh_head,age_hh_head,plot_area_acres,trees_per_acre,coffee_varieties,yield_kg,price_per_kg,uses_fertilizer,fertilizer_type,training_attended,training_topics,satisfaction_1,satisfaction_2,satisfaction_3,satisfaction_4,satisfaction_5
uuid:00030,HH-IBA-0030,A. Tumusiime,2026-05-22T10:42:00,2026-05-22T11:19:00,2026-05-22,Ibanda,Rukiri,-0.05917,30.45146,6,male,71.0,3.71,468.0,KR2 KR6 KR7 KR9,2622.6,5178.0,no,,no,,4,3,1,1,2
uuid:00199,HH-KIR-0199,B. Nakato,2026-05-04T14:53:00,2026-05-04T15:37:00,2026-05-04, Kiruhura ,Kicuzi,-0.12488,30.78751,3,female,73.0,1.63,293.0,KR3 KR6,527.8,6220.0,yes,DAP,no,,1,2,4,5,5
uuid:00027,HH-IBA-0027,D. Mugisha,2026-05-08T12:37:00,2026-05-08T13:18:00,2026-05-08,Ibanda,Rukiri,-0.26629,30.54841,9,female,49.0,2.74,514.0,KR1,1412.2,5859.0,no,,no,,3,3,3,3,3
uuid:00235,HH-KIR-0235,B. Nakato,2026-05-17T10:34:00,2026-05-17T11:16:00,2026-05-17,Kiruhura,Bisheshe,-0.22486,30.81982,8,male,42.0,2.17,638.0,KR10 KR7,1132.6,5273.0,yes,organic,yes,pruning shade_mgmt,1,5,3,5,4
uuid:00282,HH-IBA-0282,A. Tumusiime,2026-05-21T16:09:00,2026-05-21T16:49:00,2026-05-21, Ibanda ,Kicuzi,-0.05901,30.54313,6,female,49.0,5.85,487.0,KR1 KR5 KR7,3189.1,6109.0,no,,no,,3,4,5,5,4
uuid:00000,HH-IBA-0000,A. Tumusiime,2026-05-26T13:41:00,2026-05-26T14:16:00,2027-03-14,Ibanda,Nyamarebe,-0.12051,30.41626,6,male,28.0,1.28,390.0,KR7 KR9,805.9,4297.0,no,,no,,5,1,3,5,2
uuid:00066,HH-IBA-0066,A. Tumusiime,2026-05-06T09:27:00,2026-05-06T09:50:00,2026-05-06,Ibanda,Rukiri,-0.23144,30.58613,9,male,47.0,1.92,428.0,KR10 KR2 KR3,533.3,3434.0,no,,yes,post_harvest pruning shade_mgmt stumping,5,5,5,4,1
uuid:00273,HH-IBA-0273,D. Mugisha,2026-05-06T15:50:00,2026-05-06T16:35:00,2026-05-06,Ibanda,Kicuzi,-0.05952,30.66557,8,male,60.0,3.95,512.0,KR2 KR7 KR9,2940.1,6151.0,yes,organic,no,,4,4,4,4,4
uuid:00407,HH-RUB-0407,F. Byaruhanga,2026-05-13T10:45:00,2026-05-13T11:27:00,2026-05-13,Rubirizi,Rukiri,-0.29207,29.96675,6,male,45.0,1.48,646.0,KR1,1153.7,5570.0,no,,yes,post_harvest shade_mgmt stumping,4,2,5,1,2
uuid:00324,HH-IBA-0324,A. Tumusiime,2026-05-16T09:05:00,2026-05-16T09:47:00,2026-05-16,Ibanda,Rukiri,-0.16746,30.42969,7,male,27.0,1.75,439.0,KR2 KR3,1238.5,5396.0,yes,DAP,yes,pest_scouting shade_mgmt stumping,1,4,5,5,2
uuid:00078,HH-IBA-0078,A. Tumusiime,2026-05-11T09:44:00,2026-05-11T10:29:00,2026-05-11,Ibanda,Rukiri,-0.16681,30.4523,0,FEMALE,54.0,1.33,582.0,KR1 KR10,716.4,5349.0,no,,no,,1,5,1,1,3
uuid:00214,HH-KIR-0214,E. Ainembabazi,2026-05-16T13:06:00,2026-05-16T13:43:00,2026-05-16,Kiruhura,Bisheshe,0.02049,30.89098,7,male,44.0,1.09,569.0,KR1 KR10 KR5 KR7,550.0,5096.0,yes,DAP,no,,4,1,3,1,5
uuid:00107,HH-RUB-0107,F. Byaruhanga,2026-05-17T13:14:00,2026-05-17T14:00:00,2026-05-17,Rubirizi,Rukiri,-0.29377,30.0409,6,male,,1.27,,KR1 KR5 KR6 KR7,801.7,,no,,yes,pest_scouting post_harvest pruning shade_mgmt,2,5,1,1,5
uuid:00397,HH-KIR-0397,B. Nakato,2026-05-26T11:17:00,2026-05-26T11:58:00,2026-05-26,Kiruhura,Kicuzi,-0.16371,30.77498,6,male,47.0,0.87,465.0,KR2 KR6 KR7,663.7,5063.0,yes,DAP,no,,2,5,1,5,1
uuid:00069,HH-IBA-0069,D. Mugisha,2026-05-05T14:41:00,2026-05-05T15:22:00,2026-05-05,Ibanda,Nyamarebe,-0.26627,30.63494,4,male,80.0,0.87,395.0,KR5 KR7,643.3,5318.0,no,,no,,3,3,3,3,3
uuid:00219,HH-IBA-0219,D. Mugisha,2026-05-24T08:05:00,2026-05-24T08:47:00,2026-05-24,Ibanda,Kicuzi,-0.1373,30.52673,4,male,31.0,3.45,684.0,KR5,2152.3,5331.0,yes,NPK,no,,5,5,5,5,5
uuid:00076,HH-KIR-0076,E. Ainembabazi,2026-05-07T13:41:00,2026-05-07T14:19:00,2026-05-07,Kiruhura,Rukiri,-0.29506,30.88852,3,male,63.0,2.11,464.0,KR1 KR2,1200.0,5972.0,no,,no,,5,4,2,1,1
uuid:00007,HH-KIR-0007,B. Nakato,2026-05-26T08:04:00,2026-05-26T08:52:00,2026-05-26,Kiruhura,Nyamarebe,-0.21699,30.70593,4,male,37.0,2.13,481.0,KR1 KR5 KR6 KR7,1083.9,4182.0,no,NPK,no,,1,4,5,5,2
uuid:00124,HH-KIR-0124,E. Ainembabazi,2026-05-04T10:42:00,2026-05-04T11:21:00,2026-05-04,Kiruhura,Bisheshe,-0.09054,30.86331,4,male,47.0,3.41,369.0,KR10 KR5 KR7 KR9,1950.0,4423.0,No,,yes,pest_scouting pruning shade_mgmt stumping,2,5,1,4,3
uuid:00286,HH-KIR-0286,E. Ainembabazi,2026-05-24T08:57:00,2026-05-24T09:49:00,2026-05-24,Kiruhura,Nyamarebe,-0.13429,30.83671,6,male,42.0,4.15,497.0,KR2 KR3 KR9,3400.0,6338.0,yes,organic,yes,pest_scouting post_harvest,4,4,2,4,5
uuid:00110,HH-RUB-0110,C. Kyomuhendo,2026-05-14T09:53:00,2026-05-14T09:56:00,2026-05-14,Rubirizi,Bisheshe,-0.15307,30.1086,8,male,46.0,2.74,504.0,KR9,1528.1,5523.0,yes,NPK,yes,pest_scouting post_harvest,4,5,5,3,4
uuid:00125,HH-RUB-0125,F. Byaruhanga,2026-05-16T12:35:00,2026-05-16T13:12:00,2026-05-16,Rubirizi,Kicuzi,-0.33866,30.18254,4,male,,3.07,,KR10 KR5 KR6 KR7,1313.4,,yes,DAP,no,,5,1,3,1,4
uuid:00223,HH-KIR-0223,B. Nakato,2026-05-17T10:58:00,2026-05-17T11:43:00,2026-05-17,Kiruhura,Bisheshe,-0.21039,30.85024,7,male,32.0,1.77,531.0,KR1 KR10 KR9,1005.3,5418.0,yes,DAP,yes,pest_scouting pruning,2,3,4,1,4
uuid:00376,HH-KIR-0376,E. Ainembabazi,2026-05-06T12:03:00,2026-05-06T12:51:00,2026-05-06,Kiruhura,Rukiri,-0.10825,30.68842,1,male,51.0,1.49,530.0,KR1 KR3 KR9,600.0,6553.0,No,,yes,post_harvest pruning stumping,1,3,2,5,2
uuid:00293,HH-RUB-0293,F. Byaruhanga,2026-05-25T16:02:00,2026-05-25T16:35:00,2026-05-25,Rubirizi,Rukiri,-0.27836,30.01668,6,male,46.0,1.14,610.0,KR10,670.9,5388.0,no,NPK,yes,pest_scouting shade_mgmt,1,5,4,1,1
uuid:00274,HH-KIR-0274,E. Ainembabazi,2026-05-26T09:32:00,2026-05-26T10:13:00,2026-05-26,Kiruhura,Kicuzi,-0.09801,30.93289,9,MALE,55.0,3.66,440.0,KR3 KR5 KR9,2050.0,4846.0,no,,no,,4,2,3,3,1
uuid:00340,HH-KIR-0340,E. Ainembabazi,2026-05-27T15:41:00,2026-05-27T16:24:00,2026-05-27, Kiruhura ,Nyamarebe,-0.2421,30.83428,5,male,24.0,2.06,326.0,KR1 KR5 KR9,1650.0,5043.0,yes,NPK,no,pruning shade_mgmt,4,4,2,1,5
uuid:00061,HH-KIR-0061,B. Nakato,2026-05-22T09:00:00,2026-05-22T09:32:00,2026-05-22,Kiruhura,Rukiri,-0.07597,30.85958,4,MALE,52.0,2.89,734.0,KR1,1464.2,6178.0,no,,yes,pest_scouting pruning shade_mgmt,5,2,3,2,4
uuid:00395,HH-RUB-0395,F. Byaruhanga,2026-05-12T11:06:00,2026-05-12T11:33:00,2026-05-12,Rubirizi,Kicuzi,-0.20304,30.19299,6,male,38.0,3.15,396.0,KR3,2149.2,4923.0,yes,organic,no,,3,4,5,3,1
uuid:00352,HH-KIR-0352,E. Ainembabazi,2026-05-14T10:36:00,2026-05-14T11:17:00,2026-05-14,Kiruhura,Rukiri,-0.22825,30.61081,6,male,68.0,2.86,468.0,KR7 KR9,1850.0,4684.0,yes,DAP,yes,pest_scouting,2,2,4,3,5
uuid:00263,HH-RUB-0263,F. Byaruhanga,2026-05-09T13:13:00,2026-05-09T13:50:00,2026-05-09,Rubirizi,Bisheshe,-0.2793,30.02273,6,female,41.0,6.69,528.0,KR3 KR5,1349.7,5366.0,yes,organic,no,,2,5,5,1,2
uuid:00361,HH-KIR-0361,B. Nakato,2026-05-27T13:07:00,2026-05-27T13:44:00,2026-05-27,Kiruhura,Rukiri,-0.15772,30.69563,7,female,42.0,2.19,541.0,KR1 KR10 KR7,934.8,6354.0,yes,organic,no,,4,2,3,4,1
uuid:00231,HH-IBA-0231,D. Mugisha,2026-05-22T09:03:00,2026-05-22T09:52:00,2026-05-22,Ibanda,Nyamarebe,-0.16449,30.56529,5,female,73.0,1.48,451.0,KR1 KR3 KR7,627.1,4659.0,no,,no,,3,3,3,3,3
uuid:00405,HH-IBA-0405,D. Mugisha,2026-05-23T11:09:00,2026-05-23T11:43:00,2026-05-23,Ibanda,Kicuzi,0.00449,30.60313,4,male,41.0,1.4,429.0,KR10 KR2 KR6 KR9,909.9,3530.0,yes,DAP,yes,post_harvest pruning stumping,5,5,5,5,5
uuid:00012,HH-IBA-0012,A. Tumusiime,2026-05-09T10:51:00,2026-05-09T11:39:00,2026-05-09,Ibanda,Rukiri,-0.08027,30.51941,3,female,37.0,2.42,395.0,KR9,1938.2,4310.0,no,,yes,pruning,3,3,1,5,1
uuid:00097,HH-KIR-0097,B. Nakato,2026-05-06T12:06:00,2026-05-06T12:45:00,2026-05-06,Kiruhura,Bisheshe,-0.23059,30.98021,8,female,52.0,1.72,492.0,KR3 KR9,859.1,5186.0,yes,organic,no,,2,5,1,1,2
uuid:00135,HH-IBA-0135,D. Mugisha,2026-05-23T10:06:00,2026-05-23T10:43:00,2026-05-23,Ibanda,Rukiri,-0.16839,30.42885,2,male,45.0,1.53,553.0,KR1 KR5 KR7 KR9,744.2,5379.0,No,,yes,shade_mgmt,2,4,4,5,2
uuid:00018,HH-IBA-0018,A. Tumusiime,2026-05-16T12:54:00,2026-05-16T13:26:00,2026-05-16,Ibanda,Bisheshe,0.88,34.02,8,female,39.0,3.47,499.0,KR1 KR2,1718.7,4927.0,yes,DAP,no,,1,4,4,5,5
uuid:00413,HH-RUB-0413,F. Byaruhanga,2026-05-19T14:13:00,2026-05-19T14:47:00,2026-05-19,Rubirizi,Rukiri,-0.20769,30.16208,9,male,54.0,0.83,437.0,KR9,589.5,4581.0,yes,organic,no,,4,3,4,5,5
uuid:00295,HH-KIR-0295,B. Nakato,2026-05-06T08:35:00,2026-05-06T09:05:00,2026-05-06,Kiruhura,Nyamarebe,-0.11782,30.99725,6,MALE,44.0,1.05,374.0,KR1 KR10,703.3,4588.0,yes,organic,no,,5,2,1,5,5
uuid:00271,HH-KIR-0271,B. Nakato,2026-05-23T09:35:00,2026-05-23T10:09:00,2026-05-23,Kiruhura,Nyamarebe,-0.34205,30.84157,1,male,39.0,3.14,485.0,KR10 KR2 KR5,1611.4,5254.0,no,,yes,pest_scouting pruning,4,3,4,1,4
uuid:00392,HH-RUB-0392,C. Kyomuhendo,2026-05-13T12:35:00,2026-05-13T12:42:00,2026-05-13,Rubirizi,Nyamarebe,-0.1639,30.10867,8,female,55.0,3.69,401.0,KR3 KR6 KR7 KR9,2297.8,5263.0,yes,DAP,yes,pest_scouting,4,3,4,5,5
uuid:00357,HH-IBA-0357,D. Mugisha,2026-05-20T16:20:00,2026-05-20T17:12:00,2026-05-20,Ibanda,Nyamarebe,-0.09046,30.46571,6,male,39.0,0.58,514.0,KR10 KR2 KR5,361.8,5325.0,no,,no,,4,4,4,4,4
uuid:00051,HH-IBA-0051,D. Mugisha,2026-05-13T13:25:00,2026-05-13T13:45:00,2026-05-13,Ibanda,Rukiri,-0.13987,30.35587,9,male,31.0,3.7,523.0,KR3 KR6 KR9,3400.0,5390.0,yes,organic,no,,1,4,5,5,2
uuid:00185,HH-RUB-0185,F. Byaruhanga,2026-05-13T08:21:00,2026-05-13T09:10:00,2026-05-13,Rubirizi,Rukiri,-0.34694,30.15387,10,female,,3.74,,KR1,2135.4,,no,,yes,pest_scouting pruning shade_mgmt stumping,1,5,1,4,4
uuid:00294,HH-IBA-0294,A. Tumusiime,2026-05-05T16:50:00,2026-05-05T17:26:00,2026-05-05,Ibanda,Kicuzi,-0.18914,30.44192,6,female,47.0,2.79,496.0,KR1 KR2 KR5 KR9,1729.2,5190.0,No,,no,pruning shade_mgmt,2,1,4,2,1
