submission_id,household_id,enum_name,start_time,end_time,submission_date,district,subcounty,gps_lat,gps_lon,hh_size,gender_hh_head,age_hh_head,plot_area_acres,trees_per_acre,coffee_varieties,yield_kg,price_per_kg,uses_fertilizer,fertilizer_type,training_attended,training_topics,satisfaction_1,satisfaction_2,satisfaction_3,satisfaction_4,satisfaction_5,coffee_varieties__KR1,coffee_varieties__KR10,coffee_varieties__KR2,coffee_varieties__KR3,coffee_varieties__KR5,coffee_varieties__KR6,coffee_varieties__KR7,coffee_varieties__KR9,coffee_varieties__count,training_topics__pest_scouting,training_topics__post_harvest,training_topics__pruning,training_topics__shade_mgmt,training_topics__stumping,training_topics__count
uuid:00030,HH-IBA-0030,A. Tumusiime,2026-05-22 10:42:00,2026-05-22 11:19:00,2026-05-22,ibanda,rukiri,-0.05917,30.45146,6.0,male,71.0,3.71,468.0,KR2 KR6 KR7 KR9,2622.6,5178.0,False,,False,,4,3,1,1,2,0,0,1,0,0,1,1,1,4,0,0,0,0,0,0
uuid:00199,HH-KIR-0199,B. Nakato,2026-05-04 14:53:00,2026-05-04 15:37:00,2026-05-04,kiruhura,kicuzi,-0.12488,30.78751,3.0,female,73.0,1.63,293.0,KR3 KR6,527.8,6220.0,True,dap,False,,1,2,4,5,5,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0
uuid:00027,HH-IBA-0027,D. Mugisha,2026-05-08 12:37:00,2026-05-08 13:18:00,2026-05-08,ibanda,rukiri,-0.26629,30.54841,9.0,female,49.0,2.74,514.0,KR1,1412.2,5859.0,False,,False,,3,3,3,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
uuid:00235,HH-KIR-0235,B. Nakato,2026-05-17 10:34:00,2026-05-17 11:16:00,2026-05-17,kiruhura,bisheshe,-0.22486,30.81982,8.0,male,42.0,2.17,638.0,KR10 KR7,1132.6,5273.0,True,organic,True,pruning shade_mgmt,1,5,3,5,4,0,1,0,0,0,0,1,0,2,0,0,1,1,0,2
uuid:00282,HH-IBA-0282,A. Tumusiime,2026-05-21 16:09:00,2026-05-21 16:49:00,2026-05-21,ibanda,kicuzi,-0.05901,30.54313,6.0,female,49.0,5.85,487.0,KR1 KR5 KR7,3189.1,6109.0,False,,False,,3,4,5,5,4,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0
uuid:00000,HH-IBA-0000,A. Tumusiime,2026-05-26 13:41:00,2026-05-26 14:16:00,,ibanda,nyamarebe,-0.12051,30.41626,6.0,male,28.0,1.28,390.0,KR7 KR9,805.9,4297.0,False,,False,,5,1,3,5,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
uuid:00066,HH-IBA-0066,A. Tumusiime,2026-05-06 09:27:00,2026-05-06 09:50:00,2026-05-06,ibanda,rukiri,-0.23144,30.58613,9.0,male,47.0,1.92,428.0,KR10 KR2 KR3,533.3,3434.0,False,,True,post_harvest pruning shade_mgmt stumping,5,5,5,4,1,0,1,1,1,0,0,0,0,3,0,1,1,1,1,4
uuid:00273,HH-IBA-0273,D. Mugisha,2026-05-06 15:50:00,2026-05-06 16:35:00,2026-05-06,ibanda,kicuzi,-0.05952,30.66557,8.0,male,60.0,3.95,512.0,KR2 KR7 KR9,2940.1,6151.0,True,organic,False,,4,4,4,4,4,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0
uuid:00407,HH-RUB-0407,F. Byaruhanga,2026-05-13 10:45:00,2026-05-13 11:27:00,2026-05-13,rubirizi,rukiri,-0.29207,29.96675,6.0,male,45.0,1.48,646.0,KR1,1153.7,5570.0,False,,True,post_harvest shade_mgmt stumping,4,2,5,1,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,3
uuid:00324,HH-IBA-0324,A. Tumusiime,2026-05-16 09:05:00,2026-05-16 09:47:00,2026-05-16,ibanda,rukiri,-0.16746,30.42969,7.0,male,27.0,1.75,439.0,KR2 KR3,1238.5,5396.0,True,dap,True,pest_scouting shade_mgmt stumping,1,4,5,5,2,0,0,1,1,0,0,0,0,2,1,0,0,1,1,3
uuid:00078,HH-IBA-0078,A. Tumusiime,2026-05-11 09:44:00,2026-05-11 10:29:00,2026-05-11,ibanda,rukiri,-0.16681,30.4523,,female,54.0,1.33,582.0,KR1 KR10,716.4,5349.0,False,,False,,1,5,1,1,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
uuid:00214,HH-KIR-0214,E. Ainembabazi,2026-05-16 13:06:00,2026-05-16 13:43:00,2026-05-16,kiruhura,bisheshe,0.02049,30.89098,7.0,male,44.0,1.09,569.0,KR1 KR10 KR5 KR7,550.0,5096.0,True,dap,False,,4,1,3,1,5,1,1,0,0,1,0,1,0,4,0,0,0,0,0,0
uuid:00107,HH-RUB-0107,F. Byaruhanga,2026-05-17 13:14:00,2026-05-17 14:00:00,2026-05-17,rubirizi,rukiri,-0.29377,30.0409,6.0,male,,1.27,,KR1 KR5 KR6 KR7,801.7,,False,,True,pest_scouting post_harvest pruning shade_mgmt,2,5,1,1,5,1,0,0,0,1,1,1,0,4,1,1,1,1,0,4
uuid:00397,HH-KIR-0397,B. Nakato,2026-05-26 11:17:00,2026-05-26 11:58:00,2026-05-26,kiruhura,kicuzi,-0.16371,30.77498,6.0,male,47.0,0.87,465.0,KR2 KR6 KR7,663.7,5063.0,True,dap,False,,2,5,1,5,1,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0
uuid:00069,HH-IBA-0069,D. Mugisha,2026-05-05 14:41:00,2026-05-05 15:22:00,2026-05-05,ibanda,nyamarebe,-0.26627,30.63494,4.0,male,80.0,0.87,395.0,KR5 KR7,643.3,5318.0,False,,False,,3,3,3,3,3,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0
uuid:00219,HH-IBA-0219,D. Mugisha,2026-05-24 08:05:00,2026-05-24 08:47:00,2026-05-24,ibanda,kicuzi,-0.1373,30.52673,4.0,male,31.0,3.45,684.0,KR5,2152.3,5331.0,True,npk,False,,5,5,5,5,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
uuid:00076,HH-KIR-0076,E. Ainembabazi,2026-05-07 13:41:00,2026-05-07 14:19:00,2026-05-07,kiruhura,rukiri,-0.29506,30.88852,3.0,male,63.0,2.11,464.0,KR1 KR2,1200.0,5972.0,False,,False,,5,4,2,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
